obsid,leadid,ccode,"
idacr",leader,startdate,eindate,enddate,eoutdate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,ebirthdate,deathdate,edeathdate,dbpediauri,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur,Living_Abroad_Civilian,Military_Service_Abroad,Diplomatic,First_Gen_Immigrant,Study_Abroad_Civilian,Study_Abroad_Military,Exile_Abroad,Living_Abroad_Under_18,Foreign_Language,Which_language,foreign_country_1,Year_Arrival_Country_1,Year_Departure_Country_1,Country_1_military_only,foreign_country_2,Year_Arrival_Country_2,Year_Departure_Country_2,Country_2_military_only,foreign_country_3,Year_Arrival_Country_3,Year_Departure_Country_3,Country_3_military_only,foreign_country_n,Year of first departure,Year of final return,Multiple Foreign Experience,Less than one year,Between 1 and 5 years,Between 5 and 10 years,More than 10 years,travel/Tourism,travel_country_1,travel_country_2,travel_country_3,Notes,Sources,Coder_1,Coder_2 ,Coder_3,Revision_Coder_2_3,Revision Note
AFG-1973,8242ff75-1e42-11e4-b4cd-db5882bf8def,700,AFG,Sardar Mohammad Daud Khan,1973-07-17,7/17/1973,1978-04-27,4/27/1978,Irregular,Irregular,"Removed by Military, without Foreign Support",1,Death,M,1909,1978,7/18/1909,7/18/1909,4/27/1978,4/27/1978,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Mohammed-5FDaoud-5FKhan&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=XXAO5msOAIXKlcq-HHKVhvJ8g8wXR2JZqAUzN1VkamA&e=,1,3,6,3,NA,NA,1,0,1,0,1,0,0,0,1,French,FRN,,1951,0,,,,,,,,,,,1951,0,0,0,1,0,0,,,,Mohammed Daoud Khan was edcuated in France in the 1930s. In 1948 he was Afghan ambassador to France.,"Clements, Frank; Adamec, Ludwig W. (2003). Conflict in Afghanistan: A Historical Encyclopedia. ABC-CLIO. p. 67. ISBN 978-1-85109-402-8.",Qi Jing,X,Tongtong,0,
AFG-1978,82433049-1e42-11e4-b4cd-db5882bf8def,700,AFG,Taraki,1978-04-30,4/30/1978,1979-03-27,3/27/1979,Irregular,Irregular,"Removed by Other Government Actors, without Foreign Support",0,Death,M,1917,1979,NA,,NA,,NA,1,3,8,3,NA,NA,1,0,1,0,0,0,0,1,1,English,IND,1932,1937,0,USA,1962,1963,0,,,,,,1932,1963,1,0,0,1,0,0,,,,"In 1932, at the age of 15, Taraki went to work in the port city of Bombay, India. Taraki was sent to the Afghan Embassy in the United States in 1952.","Misdaq, Nabi (2006). Afghanistan: Political Frailty and External Interference. Taylor & Francis. p. 108. ISBN 978-0415702058.",Qi Jing,X,Tongtong,1,"No experience in France was indicated in the note, instead it should be the USA."
AFG-1979-1,8243304a-1e42-11e4-b4cd-db5882bf8def,700,AFG,Amin,1979-03-27,3/27/1979,1979-12-27,12/27/1979,Irregular,Irregular,"Removed by Other Government Actors, with Foreign Support",0,Death,M,1929,1979,8/1/1929,8/1/1929,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Hafizullah-5FAmin&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=eIsN-KNP3k1B_5pdxq3xUBgD9lGSWt-ROOq5eaMi73Q&e=,1,3,7,3,NA,NA,1,0,0,0,1,0,0,,1,English,USA,,,,,,,,,,,,,,,,,,,,,,,,,"""BBC Blogs - Adam Curtis - Kabul: City Number One - Part 4"". 28 October 2009. Archived from the original on 16 August 2021. Retrieved 21 July 2021.",Qi Jing,Qi Jing,Tongtong,0,
AFG-1979-2,8243611a-1e42-11e4-b4cd-db5882bf8def,700,AFG,Karmal,1979-12-27,12/27/1979,1986-05-04,5/4/1986,Irregular,Foreign,Removed through Threat of Foreign Force,0,Exile,M,1929,1996,1/6/1929,1/6/1929,12/1/1996,12/1/1996,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Babrak-5FKarmal&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=lVAUXndgd3KmxGkj0jijaSIAvsfiC3okwDy48V3yEAc&e=,1,4,9,1,NA,NA,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kakar, Hassan; Kakar, Mohammed (1997). Afghanistan: The Soviet Invasion and the Afghan Response, 1979–1982. University of California Press. ISBN 978-0-520-20893-3.",Qi Jing,Qi Jing,Tongtong,0,
AFG-1986,8243611b-1e42-11e4-b4cd-db5882bf8def,700,AFG,Najibullah,1986-05-04,5/4/1986,1992-04-16,4/16/1992,Irregular,Irregular,"Removed by Rebels, without Foreign Support",0,Exile,M,1947,1996,8/6/1947,8/6/1947,9/27/1996,9/27/1996,NA,1,3,4,1,NA,NA,1,0,1,1,1,0,1,1,1,Hindi,IRN,,,0,,,,,,,,,,,1979,1,0,1,0,0,0,,,,"He was Afghan ambassador to Iran. In 1978, he exiled to Europe.","Fisher, Earleen (13 July 1991). ""Najibullah Retains Control With Power and Pragmatism"". AP News. Retrieved 8 August 2021.",Qi Jing,Qi Jing,Tongtong,0,
AFG-1992-1,8243611c-1e42-11e4-b4cd-db5882bf8def,700,AFG,Mojadidi,1992-04-28,4/28/1992,1992-06-28,6/28/1992,Irregular,Regular,Regular,0,Missing: No Information Found,M,1926,-777,NA,,NA,,NA,1,1,0,-666,NA,NA,1,0,0,0,1,0,0,1,1,English,PAK,,,0,USA,,,0,,,,,,,,1,0,0,0,1,0,,,,,"Lori Olszewski (1995-04-08). ""Ethnic Respect at Fremont School / Public conversion ceremony part of student peace plan"". SFGate.com. Retrieved 2015-03-29.",Qi Jing,Qi Jing,Tongtong,0,
AFG-1992-2,8243611d-1e42-11e4-b4cd-db5882bf8def,700,AFG,Burhanuddin Rabbani,1992-06-28,6/28/1992,1996-09-27,9/27/1996,Regular,Irregular,"Removed by Rebels, without Foreign Support",0,OK,M,1939,2012,NA,,NA,,NA,0,3,4,0,NA,NA,1,0,0,0,1,0,0,,1,Egyptian,EGY,1966,,0,,,,,,,,,,1966,,0,0,0,1,0,0,,,,,"Rogers, Tom (1992). The Soviet Withdrawal from Afghanistan: Analysis and Chronology. Greenwood Press. p. 27.",Qi Jing,Qi Jing,Tongtong,0,
AFG-1996,8243611e-1e42-11e4-b4cd-db5882bf8def,700,AFG,Mullah Omar,1996-09-27,9/27/1996,2001-11-13,11/13/2001,Irregular,Irregular,"Removed by Rebels, with Foreign Support",0,OK,M,1959,-777,NA,,NA,,NA,1,3,3,0,NA,NA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,"""'Visionary' mullah who protects terror leader is mentally unstable"". Independent.",Qi Jing,Qi Jing,Tongtong,0,
AFG-2001,8243611f-1e42-11e4-b4cd-db5882bf8def,700,AFG,Hamid Karzai,2001-12-22,12/22/2001,2014-09-29,9/29/2014,Foreign Imposition,Regular,Regular,0,OK,M,1957,-777,12/24/1957,12/24/1957,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Hamid-5FKarzai&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=U8Ug7qDbfAQpBGnAWvRtnnnXT3DzH7Cj-yxV5LItdTY&e=,2,1,0,0,NA,NA,1,0,0,0,1,0,0,,1,Hindi,IND,1976,1983,0,PAK,,1988,0,,,,,,1976,1988,1,0,0,0,1,0,,,,,"Burke, Jason (7 March 2008). ""Hard man in a hard country"". The Guardian. UK. Archived from the original on 2 October 2013. Retrieved 14 March 2009.",Qi Jing,Qi Jing,Tongtong,0,
AFG-2014,14a038b0-aae0-11e4-b3bc-29f2fa19767e,700,AFG,Ahmadzai,2014-09-29,9/29/2014,2015-12-31,12/31/2015,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1949,-777,2/12/1949,2/12/1949,NA,,NA,0,-888,-888,-888,NA,NA,1,0,0,0,1,0,0,,1,English,SAU,,,,USA,,,,,,,,,,,,,,,,,,,,,Ahmad Shah Ahmadzai: Islamist Insists He's Broken Armed Faction Ties. Institute for War & Peace Reporting. 6 October 2004. Archived from the original on 29 September 2006.,Qi Jing,Qi Jing,Tongtong,0,
ALB-1912,8219fc8c-1e42-11e4-b4cd-db5882bf8def,339,ALB,Ismail Qemali Bej,1912-11-29,11/29/1912,1914-01-22,1/22/1914,Irregular,Irregular,Unknown,0,Exile,M,1844,1919,NA,,NA,,NA,1,3,-999,1,NA,NA,1,0,1,0,1,0,1,1,1,"Greek, Turkish, Italian, Latin",Greece,1855,1860,0,Turkey,1860,1865,0,Switerland,1900,1908,0,"France, Belgium",1855,1908,1,0,0,0,1,1,Bulgaria,,,"In 1855, he enrolled in the "" Zosimea "" gymnasium in Ioannina , where he was the only Muslim student at that time, he studied ancient Greek and Latin there. In May 1860, he went to Istanbul, where he lived with his maternal relatives. In Istanbul, he got a job in the translation office of the Ministry of Foreign Affairs, while he continued his law studies.After he had to return to Ioannina, the governor of the vilayet Aqif Pasha took him as assistant director of political affairs.In 1876, after a bloodbath in the Bulgarian villages, the Porta commissioned Ismail Beu to study the files and was in charge of the investigative commissions of Filopopol for the event. He was appointed Chief Secretary of the Foreign Section of the Prime Minister's Office. In 1900, he fled into exile in Switzerland, France, Belgium and Egypt in the next 8 years.","Qemali, Ismail (2009) [1920]. Memories [ Memories of Ismail Qemal Bey ]. Translated by Abdyrrahman Muftiu. Tirana: Toena. page 23. ISBN 978-99943-1-558-1.",Qi Jing,X,,,
ALB-1914-1,8219fc8d-1e42-11e4-b4cd-db5882bf8def,339,ALB,Feyzi Bey Alizoti,1914-01-22,1/22/1914,1914-02-21,2/21/1914,Unknown,Unknown,Unknown,0,Missing: No Information Found,M,1876,1945,NA,,NA,,NA,-666,-666,-999,-666,NA,NA,1,0,0,0,1,0,0,1,1,Greek,Greece,1890,1890,0,Turkey,1891,1894,0,Syria,1895,1898,0,Libya,1890,1906,1,0,0,0,1,,,,,"At the age of 8, Alizoti was sent to study in Ioannina. After that he finished the Classic Gymnasium of Salonika in 1890. After that he left for Istanbul, where he studied at Mekteb-i Mülkiye economics and civic administration. After the graduation he was sent in Syria where he worked as part of the Ottoman administration for 3 years. After succeeding the first assignment he was appointed Prefect of Homs in the Tripoli Eyalet, and later in the Bilecik province.","Eugen Shehu (2013-09-08), Fejzi Alizoti, komisar i tokave te lirueme shqiptare [Fejzi Alizoti, commissioner of the liberated Albanian lands] (in Albanian), Dielli, retrieved 2014-01-29",Qi Jing,X,,,
ALB-1914-2,821a2d5e-1e42-11e4-b4cd-db5882bf8def,339,ALB,Wilhelm zu Wied,1914-02-21,2/21/1914,1914-09-03,9/3/1914,Irregular,Regular,Regular,0,Exile,M,1871,1945,NA,,NA,,NA,1,1,0,1,NA,NA,1,1,0,1,1,0,0,1,1,German,Germany,1876,1914,0,,,,,,,,,,1876,1914,0,1,0,0,0,,,,,"William was born on 26 March 1876 in Neuwied Castle, near Koblenz, in the Prussian Rhineland and served as a Prussian cavalry officer before becoming a captain in the German General Staff in 1911. He was selected to be the Prince of Albania in 1914.","Springer, Elisabeth; Leopold Kammerhofer (1993). Archiv und Forschung. Oldenbourg Wissenschaftsverlag. p. 346",Qi Jing,X,,,
ALB-1914-3,821a2d5f-1e42-11e4-b4cd-db5882bf8def,339,ALB,Esat Pashe Toptani,1914-10-05,10/5/1914,1916-02-24,2/24/1916,Irregular,Foreign,Unknown,0,Exile,M,1863,1920,NA,,NA,,NA,1,4,-999,1,NA,NA,1,0,0,0,0,0,1,0,,,Italy,1914,1914,0,,,,,,,,,,1914,1914,0,1,0,0,0,,,,,"In May 1914, he fled into exile in Italy.","Pettifer, James (1 June 2001). ""Ihsan Bey Toptani"". Retrieved 5 December 2014. ""The Toptani family were in many ways the founders of contemporary Tirana""",Qi Jing,X,,,
